"Year","Month","DriversKilled","drivers","front-seat passengers","rear-seat passengers","kms","PetrolPrice","VanKilled","law","date","total"
1969,1,107,1687,867,269,9059,0.102971811805368,12,0,"196901",2823
1969,2,97,1508,825,265,7685,0.102362995884646,6,0,"196902",2598
1969,3,102,1507,806,319,9963,0.102062490635914,12,0,"196903",2632
1969,4,87,1385,814,407,10955,0.100873300511862,8,0,"196904",2606
1969,5,119,1632,991,454,11823,0.101019672891934,10,0,"196905",3077
1969,6,106,1511,945,427,12391,0.10058119170287,13,0,"196906",2883
1969,7,110,1559,1004,522,13460,0.103773981457839,11,0,"196907",3085
1969,8,106,1630,1091,536,14055,0.104076403554621,6,0,"196908",3257
1969,9,107,1579,958,405,12106,0.103773981457839,10,0,"196909",2942
1969,10,134,1653,850,437,11372,0.103026401330572,16,0,"196910",2940
1969,11,147,2152,1109,434,9834,0.102730112155946,13,0,"196911",3695
1969,12,180,2148,1113,437,9267,0.101997191539847,14,0,"196912",3698
1970,1,125,1752,925,316,9130,0.101274563494893,14,0,"197001",2993
1970,2,134,1765,903,311,8933,0.10070397563972,6,0,"197002",2979
1970,3,110,1717,1006,351,11000,0.100139606658898,8,0,"197003",3074
1970,4,102,1558,892,362,10733,0.0986211043713023,11,0,"197004",2812
1970,5,103,1575,990,486,12912,0.0983492854059603,7,0,"197005",3051
1970,6,111,1520,866,429,12926,0.0980801772105387,13,0,"197006",2815
1970,7,120,1805,1095,551,13990,0.0972792082183714,13,0,"197007",3451
1970,8,129,1800,1204,646,14926,0.0974106238350488,11,0,"197008",3650
1970,9,122,1719,1029,456,12900,0.0974252365245483,11,0,"197009",3204
1970,10,183,2008,1147,475,12034,0.0963806330037465,14,0,"197010",3630
1970,11,169,2242,1171,456,10643,0.0957389559626943,16,0,"197011",3869
1970,12,190,2478,1299,468,10742,0.0951063062359475,14,0,"197012",4245
1971,1,134,2030,944,356,10266,0.0967359671470176,17,0,"197101",3330
1971,2,108,1655,874,271,10281,0.0961092224873678,16,0,"197102",2800
1971,3,104,1693,840,354,11527,0.095367254851379,15,0,"197103",2887
1971,4,117,1623,893,427,12281,0.0947095915871269,13,0,"197104",2943
1971,5,157,1805,1007,465,13587,0.0941176202174608,13,0,"197105",3277
1971,6,148,1746,973,440,13049,0.0935321548190638,15,0,"197106",3159
1971,7,130,1795,1097,539,16055,0.0929540494377308,12,0,"197107",3431
1971,8,140,1926,1194,646,15220,0.0928397862431927,6,0,"197108",3766
1971,9,136,1619,988,457,13824,0.0927247362539862,9,0,"197109",3064
1971,10,140,1992,1077,446,12729,0.0922696509793897,13,0,"197110",3515
1971,11,187,2233,1045,402,11467,0.0917066851479679,14,0,"197111",3680
1971,12,150,2192,1115,441,11351,0.0912620719433678,15,0,"197112",3748
1972,1,159,2080,1005,359,10803,0.090711603254936,14,0,"197201",3444
1972,2,143,1768,857,334,10548,0.090276328119195,3,0,"197202",2959
1972,3,114,1835,879,312,12368,0.0899519176272147,12,0,"197203",3026
1972,4,127,1569,887,427,13311,0.0890996386561615,13,0,"197204",2883
1972,5,159,1976,1075,434,13885,0.0886791925043499,12,0,"197205",3485
1972,6,156,1853,1121,486,14088,0.0881592888670634,8,0,"197206",3460
1972,7,138,1965,1190,569,16932,0.0889020568552906,8,0,"197207",3724
1972,8,120,1689,1058,523,16164,0.0881813314444876,15,0,"197208",3270
1972,9,117,1778,939,418,14883,0.0889402929599117,8,0,"197209",3135
1972,10,170,1976,1074,452,13532,0.0877266104275971,5,0,"197210",3502
1972,11,168,2397,1089,462,12220,0.087428846437772,17,0,"197211",3948
1972,12,198,2654,1208,497,12025,0.0870354301608856,14,0,"197212",4359
1973,1,144,2097,903,354,11692,0.0864499193294655,13,0,"197301",3354
1973,2,146,1963,916,347,11081,0.0858726409121568,5,0,"197302",3226
1973,3,109,1677,787,276,13745,0.0853982218357345,8,0,"197303",2740
1973,4,131,1941,1114,472,14382,0.083821981233605,5,0,"197304",3527
1973,5,151,2003,1014,487,14391,0.0845907801489325,12,0,"197305",3504
1973,6,140,1813,1022,505,15597,0.0841369037739444,11,0,"197306",3340
1973,7,153,2012,1114,619,16834,0.0837784051341314,13,0,"197307",3745
1973,8,140,1912,1132,640,17282,0.0835107427259604,15,0,"197308",3684
1973,9,161,2084,1111,559,15779,0.0828063938633846,11,0,"197309",3754
1973,10,168,2080,1008,453,13946,0.0811788933269884,11,0,"197310",3541
1973,11,152,2118,916,418,12701,0.0828536069623417,10,0,"197311",3452
1973,12,136,2150,992,419,10431,0.0941901186933595,13,0,"197312",3561
1974,1,113,1608,731,262,11616,0.0923998429510411,8,0,"197401",2601
1974,2,100,1503,665,299,10808,0.108161478199019,6,0,"197402",2467
1974,3,103,1548,724,303,12421,0.10721168869023,8,0,"197403",2575
1974,4,103,1382,744,401,13605,0.114042966782082,14,0,"197404",2527
1974,5,121,1731,910,413,14455,0.112454115810183,12,0,"197405",3054
1974,6,134,1798,883,426,15019,0.111316253290611,14,0,"197406",3107
1974,7,133,1779,900,516,15662,0.11030125221242,13,0,"197407",3195
1974,8,129,1887,1057,600,16745,0.108197177376865,9,0,"197408",3544
1974,9,144,2004,1076,459,14717,0.107027443082328,4,0,"197409",3539
1974,10,154,2077,919,443,13756,0.104946980916917,13,0,"197410",3439
1974,11,156,2092,920,412,12531,0.119357749193208,6,0,"197411",3424
1974,12,163,2051,953,400,12568,0.117621904277373,15,0,"197412",3404
1975,1,122,1577,664,278,11249,0.133027420877451,12,0,"197501",2519
1975,2,92,1356,607,302,11096,0.130845243689729,16,0,"197502",2265
1975,3,117,1652,777,381,12637,0.128318477474772,7,0,"197503",2810
1975,4,95,1382,633,279,13018,0.123547448292297,12,0,"197504",2294
1975,5,96,1519,791,442,15005,0.118586811514179,10,0,"197505",2752
1975,6,108,1421,790,409,15235,0.116337480161004,9,0,"197506",2620
1975,7,108,1442,803,416,15552,0.11516147558196,9,0,"197507",2661
1975,8,106,1543,884,511,16905,0.114501197216867,6,0,"197508",2938
1975,9,140,1656,769,393,14776,0.113522979499817,7,0,"197509",2818
1975,10,114,1561,732,345,14104,0.111930179432996,13,0,"197510",2638
1975,11,158,1905,859,391,12854,0.110610528503361,14,0,"197511",3155
1975,12,161,2199,994,470,12956,0.11527438914664,13,0,"197512",3663
1976,1,102,1473,704,266,12177,0.113793485966034,14,0,"197601",2443
1976,2,127,1655,684,312,11918,0.112349582098189,11,0,"197602",2651
1976,3,125,1407,671,300,13517,0.111753469387189,11,0,"197603",2378
1976,4,101,1395,643,373,14417,0.109642522576533,10,0,"197604",2411
1976,5,97,1530,771,412,15911,0.10844089510559,4,0,"197605",2713
