"Year","Month","DriversKilled","drivers","front-seat passengers","rear-seat passengers","kms","PetrolPrice","VanKilled","law","date","total"
1969,1,107,59.7591215019483,30.7120085015941,9.52886999645767,9059,0.102971811805368,12,0,"196901",2823
1969,2,97,58.044649730562,31.7551963048499,10.2001539645881,7685,0.102362995884646,6,0,"196902",2598
1969,3,102,57.2568389057751,30.6231003039514,12.1200607902736,9963,0.102062490635914,12,0,"196903",2632
1969,4,87,53.1465848042978,31.2356101304681,15.6178050652341,10955,0.100873300511862,8,0,"196904",2606
1969,5,119,53.0386740331492,32.2066948326292,14.7546311342216,11823,0.101019672891934,10,0,"196905",3077
1969,6,106,52.4106833159903,32.7783558792924,14.8109608047173,12391,0.10058119170287,13,0,"196906",2883
1969,7,110,50.5348460291734,32.5445705024311,16.9205834683955,13460,0.103773981457839,11,0,"196907",3085
1969,8,106,50.0460546515198,33.4970832054037,16.4568621430764,14055,0.104076403554621,6,0,"196908",3257
1969,9,107,53.6709721278042,32.56288239293,13.7661454792658,12106,0.103773981457839,10,0,"196909",2942
1969,10,134,56.2244897959184,28.9115646258503,14.8639455782313,11372,0.103026401330572,16,0,"196910",2940
1969,11,147,58.2408660351827,30.0135317997294,11.745602165088,9834,0.102730112155946,13,0,"196911",3695
1969,12,180,58.085451595457,30.0973499188751,11.8171984856679,9267,0.101997191539847,14,0,"196912",3698
1970,1,125,58.5365853658537,30.9054460407618,10.5579685933846,9130,0.101274563494893,14,0,"197001",2993
1970,2,134,59.2480698220879,30.3121852970796,10.4397448808325,8933,0.10070397563972,6,0,"197002",2979
1970,3,110,55.8555627846454,32.726089785296,11.4183474300586,11000,0.100139606658898,8,0,"197003",3074
1970,4,102,55.4054054054054,31.7211948790896,12.873399715505,10733,0.0986211043713023,11,0,"197004",2812
1970,5,103,51.622418879056,32.4483775811209,15.929203539823,12912,0.0983492854059603,7,0,"197005",3051
1970,6,111,53.9964476021314,30.7637655417407,15.2397868561279,12926,0.0980801772105387,13,0,"197006",2815
1970,7,120,52.3036800927267,31.7299333526514,15.9663865546218,13990,0.0972792082183714,13,0,"197007",3451
1970,8,129,49.3150684931507,32.986301369863,17.6986301369863,14926,0.0974106238350488,11,0,"197008",3650
1970,9,122,53.6516853932584,32.1161048689139,14.2322097378277,12900,0.0974252365245483,11,0,"197009",3204
1970,10,183,55.3168044077135,31.5977961432507,13.0853994490358,12034,0.0963806330037465,14,0,"197010",3630
1970,11,169,57.9477901266477,30.2662186611528,11.7859912121995,10643,0.0957389559626943,16,0,"197011",3869
1970,12,190,58.3745583038869,30.6007067137809,11.0247349823322,10742,0.0951063062359475,14,0,"197012",4245
1971,1,134,60.960960960961,28.3483483483483,10.6906906906907,10266,0.0967359671470176,17,0,"197101",3330
