,Cancer Sites,Age Group Code,Sex,Race,Year,Count,Population,Rate
0,All Cancer Sites Combined,1-4,Male,Black or African American,2003.0,16.0,80863.0,19.8
1,All Cancer Sites Combined,1-4,Male,Black or African American,2005.0,20.0,78664.0,25.4
2,All Cancer Sites Combined,1-4,Male,Black or African American,2011.0,16.0,84858.0,18.9
3,All Cancer Sites Combined,5-9,Male,Black or African American,1999.0,16.0,128463.0,12.5
4,All Cancer Sites Combined,10-14,Female,Black or African American,2004.0,18.0,122071.0,14.7
5,All Cancer Sites Combined,10-14,Male,Black or African American,2005.0,16.0,124478.0,12.9
6,All Cancer Sites Combined,10-14,Male,Black or African American,2008.0,20.0,114465.0,17.5
7,All Cancer Sites Combined,10-14,Male,Black or African American,2009.0,16.0,111750.0,14.3
8,All Cancer Sites Combined,15-19,Female,Black or African American,2003.0,16.0,105342.0,15.2
9,All Cancer Sites Combined,15-19,Female,Black or African American,2005.0,18.0,113778.0,15.8
10,All Cancer Sites Combined,15-19,Female,Black or African American,2006.0,16.0,116774.0,13.7
11,All Cancer Sites Combined,15-19,Female,Black or African American,2008.0,17.0,120187.0,14.1
12,All Cancer Sites Combined,15-19,Female,Black or African American,2009.0,19.0,120003.0,15.8
13,All Cancer Sites Combined,15-19,Female,Black or African American,2010.0,18.0,118617.0,15.2
14,All Cancer Sites Combined,15-19,Male,Black or African American,1999.0,25.0,102338.0,24.4
15,All Cancer Sites Combined,15-19,Male,Black or African American,2004.0,24.0,115309.0,20.8
16,All Cancer Sites Combined,15-19,Male,Black or African American,2007.0,17.0,125579.0,13.5
17,All Cancer Sites Combined,15-19,Male,Black or African American,2010.0,19.0,124726.0,15.2
18,All Cancer Sites Combined,20-24,Female,Black or African American,1999.0,20.0,85157.0,23.5
19,All Cancer Sites Combined,20-24,Female,Black or African American,2001.0,22.0,91644.0,24.0
20,All Cancer Sites Combined,20-24,Female,Black or African American,2002.0,16.0,93664.0,17.1
21,All Cancer Sites Combined,20-24,Female,Black or African American,2003.0,18.0,95071.0,18.9
22,All Cancer Sites Combined,20-24,Female,Black or African American,2004.0,21.0,95692.0,21.9
23,All Cancer Sites Combined,20-24,Female,Black or African American,2005.0,22.0,95903.0,22.9
24,All Cancer Sites Combined,20-24,Female,Black or African American,2006.0,28.0,97362.0,28.8
25,All Cancer Sites Combined,20-24,Female,Black or African American,2007.0,28.0,99071.0,28.3
26,All Cancer Sites Combined,20-24,Female,Black or African American,2008.0,23.0,102207.0,22.5
27,All Cancer Sites Combined,20-24,Female,Black or African American,2009.0,24.0,106408.0,22.6
28,All Cancer Sites Combined,20-24,Female,Black or African American,2010.0,21.0,111044.0,18.9
29,All Cancer Sites Combined,20-24,Female,Black or African American,2011.0,23.0,116096.0,19.8
30,All Cancer Sites Combined,20-24,Male,Black or African American,1999.0,17.0,88194.0,19.3
31,All Cancer Sites Combined,20-24,Male,Black or African American,2000.0,17.0,91730.0,18.5
32,All Cancer Sites Combined,20-24,Male,Black or African American,2002.0,20.0,98115.0,20.4
33,All Cancer Sites Combined,20-24,Male,Black or African American,2003.0,16.0,98718.0,16.2
34,All Cancer Sites Combined,20-24,Male,Black or African American,2004.0,16.0,100973.0,15.8
35,All Cancer Sites Combined,20-24,Male,Black or African American,2005.0,29.0,102987.0,28.2
36,All Cancer Sites Combined,20-24,Male,Black or African American,2007.0,20.0,106271.0,18.8
37,All Cancer Sites Combined,20-24,Male,Black or African American,2008.0,23.0,108347.0,21.2
38,All Cancer Sites Combined,20-24,Male,Black or African American,2009.0,28.0,111568.0,25.1
39,All Cancer Sites Combined,20-24,Male,Black or African American,2010.0,20.0,115851.0,17.3
40,All Cancer Sites Combined,20-24,Male,Black or African American,2011.0,27.0,121866.0,22.2
41,All Cancer Sites Combined,25-29,Female,Black or African American,1999.0,51.0,92319.0,55.2
42,All Cancer Sites Combined,25-29,Female,Black or African American,2000.0,24.0,90460.0,26.5
43,All Cancer Sites Combined,25-29,Female,Black or African American,2001.0,23.0,87862.0,26.2
44,All Cancer Sites Combined,25-29,Female,Black or African American,2002.0,36.0,87335.0,41.2
45,All Cancer Sites Combined,25-29,Female,Black or African American,2003.0,38.0,88181.0,43.1
46,All Cancer Sites Combined,25-29,Female,Black or African American,2004.0,28.0,90486.0,30.9
47,All Cancer Sites Combined,25-29,Female,Black or African American,2005.0,40.0,92808.0,43.1
48,All Cancer Sites Combined,25-29,Female,Black or African American,2006.0,35.0,94855.0,36.9
49,All Cancer Sites Combined,25-29,Female,Black or African American,2007.0,31.0,95870.0,32.3
50,All Cancer Sites Combined,25-29,Female,Black or African American,2008.0,43.0,97415.0,44.1
51,All Cancer Sites Combined,25-29,Female,Black or African American,2009.0,33.0,97807.0,33.7
52,All Cancer Sites Combined,25-29,Female,Black or African American,2010.0,50.0,98236.0,50.9
53,All Cancer Sites Combined,25-29,Female,Black or African American,2011.0,45.0,100150.0,44.9
54,All Cancer Sites Combined,25-29,Male,Black or African American,1999.0,20.0,90325.0,22.1
55,All Cancer Sites Combined,25-29,Male,Black or African American,2000.0,23.0,88483.0,26.0
56,All Cancer Sites Combined,25-29,Male,Black or African American,2001.0,24.0,85925.0,27.9
57,All Cancer Sites Combined,25-29,Male,Black or African American,2002.0,23.0,85215.0,27.0
58,All Cancer Sites Combined,25-29,Male,Black or African American,2003.0,25.0,85318.0,29.3
59,All Cancer Sites Combined,25-29,Male,Black or African American,2004.0,29.0,87452.0,33.2
60,All Cancer Sites Combined,25-29,Male,Black or African American,2005.0,24.0,89920.0,26.7
61,All Cancer Sites Combined,25-29,Male,Black or African American,2006.0,21.0,92886.0,22.6
62,All Cancer Sites Combined,25-29,Male,Black or African American,2007.0,28.0,95100.0,29.4
63,All Cancer Sites Combined,25-29,Male,Black or African American,2008.0,26.0,97457.0,26.7
64,All Cancer Sites Combined,25-29,Male,Black or African American,2009.0,23.0,99098.0,23.2
65,All Cancer Sites Combined,25-29,Male,Black or African American,2010.0,23.0,100371.0,22.9
66,All Cancer Sites Combined,25-29,Male,Black or African American,2011.0,22.0,102653.0,21.4
67,All Cancer Sites Combined,30-34,Female,Black or African American,1999.0,84.0,102996.0,81.6
68,All Cancer Sites Combined,30-34,Female,Black or African American,2000.0,76.0,99869.0,76.1
69,All Cancer Sites Combined,30-34,Female,Black or African American,2001.0,89.0,99794.0,89.2
70,All Cancer Sites Combined,30-34,Female,Black or African American,2002.0,73.0,98566.0,74.1
71,All Cancer Sites Combined,30-34,Female,Black or African American,2003.0,73.0,96777.0,75.4
72,All Cancer Sites Combined,30-34,Female,Black or African American,2004.0,84.0,94607.0,88.8
73,All Cancer Sites Combined,30-34,Female,Black or African American,2005.0,56.0,90283.0,62.0
74,All Cancer Sites Combined,30-34,Female,Black or African American,2006.0,63.0,87128.0,72.3
75,All Cancer Sites Combined,30-34,Female,Black or African American,2007.0,67.0,86392.0,77.6
76,All Cancer Sites Combined,30-34,Female,Black or African American,2008.0,69.0,86926.0,79.4
77,All Cancer Sites Combined,30-34,Female,Black or African American,2009.0,74.0,89129.0,83.0
78,All Cancer Sites Combined,30-34,Female,Black or African American,2010.0,85.0,91589.0,92.8
79,All Cancer Sites Combined,30-34,Female,Black or African American,2011.0,79.0,93146.0,84.8
80,All Cancer Sites Combined,30-34,Male,Black or African American,1999.0,40.0,102130.0,39.2
81,All Cancer Sites Combined,30-34,Male,Black or African American,2000.0,56.0,98672.0,56.8
82,All Cancer Sites Combined,30-34,Male,Black or African American,2001.0,39.0,98159.0,39.7
83,All Cancer Sites Combined,30-34,Male,Black or African American,2002.0,52.0,96993.0,53.6
84,All Cancer Sites Combined,30-34,Male,Black or African American,2003.0,37.0,94647.0,39.1
85,All Cancer Sites Combined,30-34,Male,Black or African American,2004.0,44.0,92247.0,47.7
86,All Cancer Sites Combined,30-34,Male,Black or African American,2005.0,40.0,88284.0,45.3
87,All Cancer Sites Combined,30-34,Male,Black or African American,2006.0,43.0,85785.0,50.1
88,All Cancer Sites Combined,30-34,Male,Black or African American,2007.0,33.0,85295.0,38.7
89,All Cancer Sites Combined,30-34,Male,Black or African American,2008.0,37.0,86450.0,42.8
90,All Cancer Sites Combined,30-34,Male,Black or African American,2009.0,33.0,88720.0,37.2
91,All Cancer Sites Combined,30-34,Male,Black or African American,2010.0,43.0,91849.0,46.8
92,All Cancer Sites Combined,30-34,Male,Black or African American,2011.0,32.0,94124.0,34.0
93,All Cancer Sites Combined,35-39,Female,Black or African American,1999.0,142.0,110329.0,128.7
94,All Cancer Sites Combined,35-39,Female,Black or African American,2000.0,172.0,109007.0,157.8
95,All Cancer Sites Combined,35-39,Female,Black or African American,2001.0,137.0,107077.0,127.9
96,All Cancer Sites Combined,35-39,Female,Black or African American,2002.0,132.0,104286.0,126.6
97,All Cancer Sites Combined,35-39,Female,Black or African American,2003.0,121.0,101494.0,119.2
98,All Cancer Sites Combined,35-39,Female,Black or African American,2004.0,157.0,98860.0,158.8
99,All Cancer Sites Combined,35-39,Female,Black or African American,2005.0,128.0,97722.0,131.0
100,All Cancer Sites Combined,35-39,Female,Black or African American,2006.0,129.0,97122.0,132.8
101,All Cancer Sites Combined,35-39,Female,Black or African American,2007.0,93.0,95180.0,97.7
102,All Cancer Sites Combined,35-39,Female,Black or African American,2008.0,118.0,93011.0,126.9
103,All Cancer Sites Combined,35-39,Female,Black or African American,2009.0,125.0,90866.0,137.6
104,All Cancer Sites Combined,35-39,Female,Black or African American,2010.0,116.0,87851.0,132.0
105,All Cancer Sites Combined,35-39,Female,Black or African American,2011.0,119.0,85531.0,139.1
106,All Cancer Sites Combined,35-39,Male,Black or African American,1999.0,85.0,108271.0,78.5
107,All Cancer Sites Combined,35-39,Male,Black or African American,2000.0,81.0,106704.0,75.9
108,All Cancer Sites Combined,35-39,Male,Black or African American,2001.0,84.0,105002.0,80.0
109,All Cancer Sites Combined,35-39,Male,Black or African American,2002.0,79.0,102111.0,77.4
110,All Cancer Sites Combined,35-39,Male,Black or African American,2003.0,73.0,99449.0,73.4
111,All Cancer Sites Combined,35-39,Male,Black or African American,2004.0,63.0,96817.0,65.1
112,All Cancer Sites Combined,35-39,Male,Black or African American,2005.0,79.0,95615.0,82.6
113,All Cancer Sites Combined,35-39,Male,Black or African American,2006.0,69.0,94548.0,73.0
114,All Cancer Sites Combined,35-39,Male,Black or African American,2007.0,64.0,92879.0,68.9
115,All Cancer Sites Combined,35-39,Male,Black or African American,2008.0,63.0,90913.0,69.3
116,All Cancer Sites Combined,35-39,Male,Black or African American,2009.0,52.0,88757.0,58.6
117,All Cancer Sites Combined,35-39,Male,Black or African American,2010.0,45.0,85702.0,52.5
118,All Cancer Sites Combined,35-39,Male,Black or African American,2011.0,56.0,83464.0,67.1
119,All Cancer Sites Combined,40-44,Female,Black or African American,1999.0,260.0,99538.0,261.2
120,All Cancer Sites Combined,40-44,Female,Black or African American,2000.0,242.0,101894.0,237.5
121,All Cancer Sites Combined,40-44,Female,Black or African American,2001.0,250.0,104080.0,240.2
122,All Cancer Sites Combined,40-44,Female,Black or African American,2002.0,214.0,105209.0,203.4
123,All Cancer Sites Combined,40-44,Female,Black or African American,2003.0,264.0,106011.0,249.0
124,All Cancer Sites Combined,40-44,Female,Black or African American,2004.0,253.0,106278.0,238.1
125,All Cancer Sites Combined,40-44,Female,Black or African American,2005.0,250.0,104840.0,238.5
126,All Cancer Sites Combined,40-44,Female,Black or African American,2006.0,255.0,102595.0,248.6
127,All Cancer Sites Combined,40-44,Female,Black or African American,2007.0,269.0,99486.0,270.4
128,All Cancer Sites Combined,40-44,Female,Black or African American,2008.0,219.0,96771.0,226.3
129,All Cancer Sites Combined,40-44,Female,Black or African American,2009.0,246.0,94368.0,260.7
130,All Cancer Sites Combined,40-44,Female,Black or African American,2010.0,217.0,93906.0,231.1
131,All Cancer Sites Combined,40-44,Female,Black or African American,2011.0,218.0,93705.0,232.6
132,All Cancer Sites Combined,40-44,Male,Black or African American,1999.0,159.0,96789.0,164.3
133,All Cancer Sites Combined,40-44,Male,Black or African American,2000.0,151.0,99191.0,152.2
134,All Cancer Sites Combined,40-44,Male,Black or African American,2001.0,169.0,101362.0,166.7
135,All Cancer Sites Combined,40-44,Male,Black or African American,2002.0,137.0,102671.0,133.4
136,All Cancer Sites Combined,40-44,Male,Black or African American,2003.0,138.0,103267.0,133.6
137,All Cancer Sites Combined,40-44,Male,Black or African American,2004.0,147.0,103597.0,141.9
138,All Cancer Sites Combined,40-44,Male,Black or African American,2005.0,147.0,102518.0,143.4
139,All Cancer Sites Combined,40-44,Male,Black or African American,2006.0,139.0,100728.0,138.0
140,All Cancer Sites Combined,40-44,Male,Black or African American,2007.0,148.0,97873.0,151.2
141,All Cancer Sites Combined,40-44,Male,Black or African American,2008.0,136.0,95604.0,142.3
142,All Cancer Sites Combined,40-44,Male,Black or African American,2009.0,133.0,93187.0,142.7
143,All Cancer Sites Combined,40-44,Male,Black or African American,2010.0,122.0,92623.0,131.7
144,All Cancer Sites Combined,40-44,Male,Black or African American,2011.0,133.0,92124.0,144.4
145,All Cancer Sites Combined,45-49,Female,Black or African American,1999.0,323.0,81491.0,396.4
146,All Cancer Sites Combined,45-49,Female,Black or African American,2000.0,309.0,84168.0,367.1
147,All Cancer Sites Combined,45-49,Female,Black or African American,2001.0,364.0,86492.0,420.8
148,All Cancer Sites Combined,45-49,Female,Black or African American,2002.0,359.0,89914.0,399.3
149,All Cancer Sites Combined,45-49,Female,Black or African American,2003.0,358.0,92716.0,386.1
150,All Cancer Sites Combined,45-49,Female,Black or African American,2004.0,373.0,95274.0,391.5
151,All Cancer Sites Combined,45-49,Female,Black or African American,2005.0,384.0,97997.0,391.8
152,All Cancer Sites Combined,45-49,Female,Black or African American,2006.0,358.0,99674.0,359.2
153,All Cancer Sites Combined,45-49,Female,Black or African American,2007.0,391.0,100485.0,389.1
154,All Cancer Sites Combined,45-49,Female,Black or African American,2008.0,337.0,101000.0,333.7
155,All Cancer Sites Combined,45-49,Female,Black or African American,2009.0,417.0,101325.0,411.5
156,All Cancer Sites Combined,45-49,Female,Black or African American,2010.0,349.0,100574.0,347.0
157,All Cancer Sites Combined,45-49,Female,Black or African American,2011.0,403.0,98733.0,408.2
158,All Cancer Sites Combined,45-49,Male,Black or African American,1999.0,263.0,75947.0,346.3
159,All Cancer Sites Combined,45-49,Male,Black or African American,2000.0,258.0,78868.0,327.1
160,All Cancer Sites Combined,45-49,Male,Black or African American,2001.0,279.0,81741.0,341.3
161,All Cancer Sites Combined,45-49,Male,Black or African American,2002.0,298.0,85189.0,349.8
162,All Cancer Sites Combined,45-49,Male,Black or African American,2003.0,312.0,88866.0,351.1
163,All Cancer Sites Combined,45-49,Male,Black or African American,2004.0,273.0,91336.0,298.9
164,All Cancer Sites Combined,45-49,Male,Black or African American,2005.0,299.0,94235.0,317.3
165,All Cancer Sites Combined,45-49,Male,Black or African American,2006.0,269.0,96335.0,279.2
166,All Cancer Sites Combined,45-49,Male,Black or African American,2007.0,310.0,97855.0,316.8
167,All Cancer Sites Combined,45-49,Male,Black or African American,2008.0,305.0,98553.0,309.5
168,All Cancer Sites Combined,45-49,Male,Black or African American,2009.0,315.0,99324.0,317.1
169,All Cancer Sites Combined,45-49,Male,Black or African American,2010.0,334.0,98858.0,337.9
170,All Cancer Sites Combined,45-49,Male,Black or African American,2011.0,259.0,96830.0,267.5
171,All Cancer Sites Combined,50-54,Female,Black or African American,1999.0,419.0,65226.0,642.4
172,All Cancer Sites Combined,50-54,Female,Black or African American,2000.0,374.0,69459.0,538.4
173,All Cancer Sites Combined,50-54,Female,Black or African American,2001.0,398.0,73859.0,538.9
174,All Cancer Sites Combined,50-54,Female,Black or African American,2002.0,442.0,75518.0,585.3
175,All Cancer Sites Combined,50-54,Female,Black or African American,2003.0,425.0,77783.0,546.4
176,All Cancer Sites Combined,50-54,Female,Black or African American,2004.0,495.0,79384.0,623.6
177,All Cancer Sites Combined,50-54,Female,Black or African American,2005.0,443.0,81270.0,545.1
178,All Cancer Sites Combined,50-54,Female,Black or African American,2006.0,502.0,83481.0,601.3
179,All Cancer Sites Combined,50-54,Female,Black or African American,2007.0,494.0,86706.0,569.7
180,All Cancer Sites Combined,50-54,Female,Black or African American,2008.0,519.0,89478.0,580.0
181,All Cancer Sites Combined,50-54,Female,Black or African American,2009.0,528.0,92321.0,571.9
182,All Cancer Sites Combined,50-54,Female,Black or African American,2010.0,547.0,95288.0,574.0
183,All Cancer Sites Combined,50-54,Female,Black or African American,2011.0,523.0,97163.0,538.3
184,All Cancer Sites Combined,50-54,Male,Black or African American,1999.0,433.0,57998.0,746.6
185,All Cancer Sites Combined,50-54,Male,Black or African American,2000.0,465.0,62253.0,747.0
186,All Cancer Sites Combined,50-54,Male,Black or African American,2001.0,463.0,66731.0,693.8
187,All Cancer Sites Combined,50-54,Male,Black or African American,2002.0,483.0,68989.0,700.1
188,All Cancer Sites Combined,50-54,Male,Black or African American,2003.0,527.0,71025.0,742.0
189,All Cancer Sites Combined,50-54,Male,Black or African American,2004.0,503.0,73700.0,682.5
190,All Cancer Sites Combined,50-54,Male,Black or African American,2005.0,484.0,76368.0,633.8
191,All Cancer Sites Combined,50-54,Male,Black or African American,2006.0,520.0,79254.0,656.1
192,All Cancer Sites Combined,50-54,Male,Black or African American,2007.0,532.0,82841.0,642.2
193,All Cancer Sites Combined,50-54,Male,Black or African American,2008.0,576.0,86698.0,664.4
194,All Cancer Sites Combined,50-54,Male,Black or African American,2009.0,583.0,89649.0,650.3
195,All Cancer Sites Combined,50-54,Male,Black or African American,2010.0,643.0,92770.0,693.1
196,All Cancer Sites Combined,50-54,Male,Black or African American,2011.0,564.0,94303.0,598.1
197,All Cancer Sites Combined,55-59,Female,Black or African American,1999.0,415.0,49452.0,839.2
198,All Cancer Sites Combined,55-59,Female,Black or African American,2000.0,416.0,50802.0,818.9
199,All Cancer Sites Combined,55-59,Female,Black or African American,2001.0,400.0,52175.0,766.7
200,All Cancer Sites Combined,55-59,Female,Black or African American,2002.0,439.0,55728.0,787.8
201,All Cancer Sites Combined,55-59,Female,Black or African American,2003.0,444.0,58857.0,754.4
202,All Cancer Sites Combined,55-59,Female,Black or African American,2004.0,462.0,62436.0,740.0
203,All Cancer Sites Combined,55-59,Female,Black or African American,2005.0,514.0,66479.0,773.2
204,All Cancer Sites Combined,55-59,Female,Black or African American,2006.0,572.0,70330.0,813.3
205,All Cancer Sites Combined,55-59,Female,Black or African American,2007.0,560.0,71222.0,786.3
206,All Cancer Sites Combined,55-59,Female,Black or African American,2008.0,557.0,73236.0,760.6
207,All Cancer Sites Combined,55-59,Female,Black or African American,2009.0,597.0,74956.0,796.5
208,All Cancer Sites Combined,55-59,Female,Black or African American,2010.0,605.0,77452.0,781.1
209,All Cancer Sites Combined,55-59,Female,Black or African American,2011.0,575.0,79898.0,719.7
210,All Cancer Sites Combined,55-59,Male,Black or African American,1999.0,589.0,43139.0,1365.4
211,All Cancer Sites Combined,55-59,Male,Black or African American,2000.0,566.0,44156.0,1281.8
212,All Cancer Sites Combined,55-59,Male,Black or African American,2001.0,629.0,45596.0,1379.5
213,All Cancer Sites Combined,55-59,Male,Black or African American,2002.0,675.0,48449.0,1393.2
