"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	17	107985	15.7
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	16	120225	13.3
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	22	123445	17.8
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	17	124085	13.7
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	22	125815	17.5
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	21	127847	16.4
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	21	131113	16.0
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	24	132551	18.1
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	19	134000	14.2
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	18	112635	16.0
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	24	112972	21.2
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	30	117145	25.6
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	25	121169	20.6
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	33	126354	26.1
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	30	130186	23.0
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	25	130431	19.2
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	30	132214	22.7
