"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	35	188711	18.5
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	31	189838	16.3
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	53	203736	26.0
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	45	201490	22.3
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	43	203900	21.1
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	48	203693	23.6
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	37	203315	18.2
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	32	202776	15.8
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	56	203534	27.5
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	41	202322	20.3
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	42	187531	22.4
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	55	184132	29.9
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	47	194710	24.1
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	64	198432	32.3
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	42	200008	21.0
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	46	214013	21.5
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	56	209833	26.7
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	48	212381	22.6
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	60	211780	28.3
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	57	212595	26.8
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	62	210456	29.5
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	59	212151	27.8
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	53	211351	25.1
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	49	195163	25.1
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	58	191639	30.3
	"All Cancer Sites Combined"	"0"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	48	202936	23.7
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	151	781655	19.3
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	148	769300	19.2
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	157	753798	20.8
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	157	758059	20.7
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	148	764830	19.4
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	168	773869	21.7
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	162	778302	20.8
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	162	770525	21.0
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	165	766578	21.5
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	171	766778	22.3
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	187	765525	24.4
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	162	754496	21.5
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	186	749550	24.8
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	215	819090	26.2
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	193	805615	24.0
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	197	790587	24.9
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	196	795986	24.6
	"All Cancer Sites Combined"	"0"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	173	802647	21.6
