"Cancer Sites"	"Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	17	17577	96.7
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	17	19437	87.5
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	17	20839	81.6
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	19	21665	87.7
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	16	22107	72.4
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	18	22659	79.4
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	18	23750	75.8
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	16	24850	64.4
	"All Cancer Sites Combined"	"0"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	24	25259	95.0
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2000"	"2000"	22	15663	140.5
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	25	16457	151.9
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	25	17420	143.5
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	21	18381	114.2
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	19	19256	98.7
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	26	20278	128.2
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	30	21091	142.2
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	34	22041	154.3
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	28	23032	121.6
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	27	24202	111.6
	"All Cancer Sites Combined"	"0"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	32	24714	129.5
