,Age Group,Sex,Year,Count
All Sites Combined,1,F,2007.0,23.0
All Sites Combined,1,F,2008.0,20.0
All Sites Combined,1,F,2009.0,21.0
All Sites Combined,1,F,2011.0,24.0
All Sites Combined,1,M,2005.0,17.0
All Sites Combined,1,M,2008.0,19.0
All Sites Combined,1,M,2009.0,18.0
All Sites Combined,1,M,2010.0,28.0
All Sites Combined,1,M,2011.0,26.0
All Sites Combined,1-4,F,1999.0,19.0
All Sites Combined,1-4,F,2000.0,26.0
All Sites Combined,1-4,F,2001.0,28.0
All Sites Combined,1-4,F,2002.0,28.0
All Sites Combined,1-4,F,2003.0,23.0
All Sites Combined,1-4,F,2004.0,32.0
All Sites Combined,1-4,F,2005.0,28.0
All Sites Combined,1-4,F,2006.0,31.0
All Sites Combined,1-4,F,2007.0,44.0
All Sites Combined,1-4,F,2008.0,51.0
All Sites Combined,1-4,F,2009.0,51.0
All Sites Combined,1-4,F,2010.0,42.0
All Sites Combined,1-4,F,2011.0,53.0
All Sites Combined,1-4,M,1999.0,28.0
All Sites Combined,1-4,M,2000.0,25.0
All Sites Combined,1-4,M,2001.0,29.0
All Sites Combined,1-4,M,2002.0,30.0
All Sites Combined,1-4,M,2003.0,26.0
All Sites Combined,1-4,M,2004.0,42.0
All Sites Combined,1-4,M,2005.0,37.0
All Sites Combined,1-4,M,2006.0,42.0
All Sites Combined,1-4,M,2007.0,51.0
All Sites Combined,1-4,M,2008.0,50.0
All Sites Combined,1-4,M,2009.0,68.0
All Sites Combined,1-4,M,2010.0,68.0
All Sites Combined,1-4,M,2011.0,82.0
All Sites Combined,5-9,F,1999.0,16.0
All Sites Combined,5-9,F,2000.0,19.0
All Sites Combined,5-9,F,2001.0,18.0
All Sites Combined,5-9,F,2002.0,22.0
All Sites Combined,5-9,F,2003.0,19.0
All Sites Combined,5-9,F,2004.0,24.0
All Sites Combined,5-9,F,2005.0,26.0
All Sites Combined,5-9,F,2006.0,27.0
All Sites Combined,5-9,F,2007.0,21.0
All Sites Combined,5-9,F,2008.0,30.0
All Sites Combined,5-9,F,2009.0,42.0
All Sites Combined,5-9,F,2010.0,28.0
All Sites Combined,5-9,F,2011.0,50.0
All Sites Combined,5-9,M,2000.0,25.0
All Sites Combined,5-9,M,2001.0,19.0
All Sites Combined,5-9,M,2002.0,29.0
All Sites Combined,5-9,M,2003.0,17.0
All Sites Combined,5-9,M,2004.0,24.0
All Sites Combined,5-9,M,2005.0,24.0
All Sites Combined,5-9,M,2006.0,20.0
All Sites Combined,5-9,M,2007.0,36.0
All Sites Combined,5-9,M,2008.0,38.0
All Sites Combined,5-9,M,2009.0,32.0
All Sites Combined,5-9,M,2010.0,49.0
All Sites Combined,5-9,M,2011.0,32.0
All Sites Combined,10-14,F,1999.0,20.0
All Sites Combined,10-14,F,2000.0,18.0
All Sites Combined,10-14,F,2001.0,18.0
All Sites Combined,10-14,F,2002.0,23.0
All Sites Combined,10-14,F,2003.0,22.0
All Sites Combined,10-14,F,2004.0,22.0
All Sites Combined,10-14,F,2005.0,29.0
All Sites Combined,10-14,F,2006.0,19.0
All Sites Combined,10-14,F,2007.0,28.0
All Sites Combined,10-14,F,2008.0,37.0
All Sites Combined,10-14,F,2009.0,56.0
All Sites Combined,10-14,F,2010.0,35.0
All Sites Combined,10-14,F,2011.0,39.0
All Sites Combined,10-14,M,1999.0,18.0
All Sites Combined,10-14,M,2000.0,16.0
All Sites Combined,10-14,M,2001.0,23.0
All Sites Combined,10-14,M,2002.0,21.0
All Sites Combined,10-14,M,2003.0,29.0
