"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	306	1332040	23.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	363	1375466	26.4
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	362	1422252	25.5
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	363	1412502	25.7
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	382	1480138	25.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	391	1518291	25.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	373	1499992	24.9
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	387	1509872	25.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	427	1538040	27.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	400	1525335	26.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	391	1471609	26.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	389	1452207	26.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	404	1437723	28.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	397	1401594	28.3
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	335	1446844	23.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	391	1488525	26.3
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	412	1479174	27.9
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	429	1551967	27.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	445	1591206	28.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	441	1573653	28.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	466	1582557	29.4
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	439	1612525	27.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	480	1595501	30.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	452	1540088	29.3
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	432	1519008	28.4
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	402	1506562	26.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"1999"	"1999"	1044	5362803	19.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2000"	"2000"	1116	5466158	20.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2001"	"2001"	1211	5414081	22.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2002"	"2002"	1098	5515656	19.9
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2003"	"2003"	1225	5794710	21.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2004"	"2004"	1288	5961732	21.6
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2005"	"2005"	1244	6003364	20.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2006"	"2006"	1266	5978973	21.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2007"	"2007"	1316	5982413	22.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2008"	"2008"	1360	6005745	22.6
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2009"	"2009"	1294	6005376	21.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2010"	"2010"	1348	5978522	22.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"White"	"2106-3"	"2011"	"2011"	1351	5878521	23.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"1999"	"1999"	1307	5641153	23.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2000"	"2000"	1337	5747975	23.3
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2001"	"2001"	1375	5691777	24.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2002"	"2002"	1470	5794006	25.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2003"	"2003"	1401	6081397	23.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2004"	"2004"	1572	6253083	25.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2005"	"2005"	1505	6290049	23.9
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2006"	"2006"	1476	6268064	23.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2007"	"2007"	1577	6272860	25.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2008"	"2008"	1529	6297356	24.3
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2009"	"2009"	1535	6294526	24.4
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2010"	"2010"	1626	6263974	26.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"White"	"2106-3"	"2011"	"2011"	1487	6152370	24.2
