,Leading Cancer Sites,Leading Cancer Sites Code,Age Group Code,Sex,Race,Year,Count,Population,Rate
0,All Sites Combined,00,1,Female,Black or African American,2000.0,44.0,273831.0,16.1
1,All Sites Combined,00,1,Female,Black or African American,2001.0,48.0,273501.0,17.6
2,All Sites Combined,00,1,Female,Black or African American,2002.0,38.0,274471.0,13.8
3,All Sites Combined,00,1,Female,Black or African American,2003.0,62.0,296092.0,20.9
4,All Sites Combined,00,1,Female,Black or African American,2004.0,61.0,310300.0,19.7
5,All Sites Combined,00,1,Female,Black or African American,2005.0,58.0,317013.0,18.3
6,All Sites Combined,00,1,Female,Black or African American,2006.0,62.0,326678.0,19.0
7,All Sites Combined,00,1,Female,Black or African American,2007.0,54.0,341912.0,15.8
8,All Sites Combined,00,1,Female,Black or African American,2008.0,55.0,343420.0,16.0
9,All Sites Combined,00,1,Female,Black or African American,2009.0,56.0,337020.0,16.6
10,All Sites Combined,00,1,Female,Black or African American,2010.0,71.0,330117.0,21.5
11,All Sites Combined,00,1,Female,Black or African American,2011.0,54.0,332106.0,16.3
12,All Sites Combined,00,1,Male,Black or African American,1999.0,39.0,264176.0,14.8
13,All Sites Combined,00,1,Male,Black or African American,2000.0,50.0,283157.0,17.7
14,All Sites Combined,00,1,Male,Black or African American,2001.0,67.0,282276.0,23.7
15,All Sites Combined,00,1,Male,Black or African American,2002.0,53.0,283316.0,18.7
16,All Sites Combined,00,1,Male,Black or African American,2003.0,46.0,307077.0,15.0
17,All Sites Combined,00,1,Male,Black or African American,2004.0,66.0,320836.0,20.6
18,All Sites Combined,00,1,Male,Black or African American,2005.0,63.0,327935.0,19.2
19,All Sites Combined,00,1,Male,Black or African American,2006.0,73.0,337086.0,21.7
20,All Sites Combined,00,1,Male,Black or African American,2007.0,70.0,353833.0,19.8
21,All Sites Combined,00,1,Male,Black or African American,2008.0,85.0,353526.0,24.0
22,All Sites Combined,00,1,Male,Black or African American,2009.0,67.0,346752.0,19.3
23,All Sites Combined,00,1,Male,Black or African American,2010.0,56.0,341854.0,16.4
24,All Sites Combined,00,1,Male,Black or African American,2011.0,53.0,345463.0,15.3
25,All Sites Combined,00,1-4,Female,Black or African American,1999.0,142.0,1054621.0,13.5
26,All Sites Combined,00,1-4,Female,Black or African American,2000.0,151.0,1095114.0,13.8
27,All Sites Combined,00,1-4,Female,Black or African American,2001.0,145.0,1050054.0,13.8
28,All Sites Combined,00,1-4,Female,Black or African American,2002.0,146.0,1092581.0,13.4
29,All Sites Combined,00,1-4,Female,Black or African American,2003.0,173.0,1199175.0,14.4
30,All Sites Combined,00,1-4,Female,Black or African American,2004.0,176.0,1233915.0,14.3
31,All Sites Combined,00,1-4,Female,Black or African American,2005.0,185.0,1236095.0,15.0
32,All Sites Combined,00,1-4,Female,Black or African American,2006.0,179.0,1241597.0,14.4
33,All Sites Combined,00,1-4,Female,Black or African American,2007.0,189.0,1259922.0,15.0
34,All Sites Combined,00,1-4,Female,Black or African American,2008.0,199.0,1296651.0,15.3
35,All Sites Combined,00,1-4,Female,Black or African American,2009.0,206.0,1328982.0,15.5
36,All Sites Combined,00,1-4,Female,Black or African American,2010.0,201.0,1345445.0,14.9
37,All Sites Combined,00,1-4,Female,Black or African American,2011.0,195.0,1338067.0,14.6
38,All Sites Combined,00,1-4,Male,Black or African American,1999.0,134.0,1089031.0,12.3
39,All Sites Combined,00,1-4,Male,Black or African American,2000.0,164.0,1133870.0,14.5
40,All Sites Combined,00,1-4,Male,Black or African American,2001.0,160.0,1086848.0,14.7
41,All Sites Combined,00,1-4,Male,Black or African American,2002.0,175.0,1129642.0,15.5
42,All Sites Combined,00,1-4,Male,Black or African American,2003.0,197.0,1237488.0,15.9
43,All Sites Combined,00,1-4,Male,Black or African American,2004.0,211.0,1273755.0,16.6
44,All Sites Combined,00,1-4,Male,Black or African American,2005.0,225.0,1276572.0,17.6
45,All Sites Combined,00,1-4,Male,Black or African American,2006.0,209.0,1283747.0,16.3
46,All Sites Combined,00,1-4,Male,Black or African American,2007.0,197.0,1303696.0,15.1
47,All Sites Combined,00,1-4,Male,Black or African American,2008.0,243.0,1342191.0,18.1
48,All Sites Combined,00,1-4,Male,Black or African American,2009.0,214.0,1374554.0,15.6
49,All Sites Combined,00,1-4,Male,Black or African American,2010.0,250.0,1389924.0,18.0
50,All Sites Combined,00,1-4,Male,Black or African American,2011.0,225.0,1383712.0,16.3
51,All Sites Combined,00,5-9,Female,Black or African American,1999.0,106.0,1481210.0,7.2
52,All Sites Combined,00,5-9,Female,Black or African American,2000.0,93.0,1523075.0,6.1
53,All Sites Combined,00,5-9,Female,Black or African American,2001.0,126.0,1433359.0,8.8
54,All Sites Combined,00,5-9,Female,Black or African American,2002.0,131.0,1446990.0,9.1
55,All Sites Combined,00,5-9,Female,Black or African American,2003.0,124.0,1553225.0,8.0
56,All Sites Combined,00,5-9,Female,Black or African American,2004.0,156.0,1570808.0,9.9
57,All Sites Combined,00,5-9,Female,Black or African American,2005.0,131.0,1556149.0,8.4
58,All Sites Combined,00,5-9,Female,Black or African American,2006.0,118.0,1572546.0,7.5
59,All Sites Combined,00,5-9,Female,Black or African American,2007.0,147.0,1582720.0,9.3
60,All Sites Combined,00,5-9,Female,Black or African American,2008.0,155.0,1589295.0,9.8
61,All Sites Combined,00,5-9,Female,Black or African American,2009.0,140.0,1604711.0,8.7
