"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	19	107251	17.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	18	121462	14.8
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	17	126322	13.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	18	139570	12.9
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	18	110787	16.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2004"	"2004"	26	120218	21.6
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	22	124499	17.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2007"	"2007"	23	135780	16.9
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2008"	"2008"	19	144414	13.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2009"	"2009"	18	154003	11.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2011"	"2011"	26	157740	16.5
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	19	152504	12.5
	"All Sites Combined"	"00"	"5-9 years"	"5-9"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2006"	"2006"	17	158141	10.7
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	16	169941	9.4
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2010"	"2010"	16	183513	8.7
	"All Sites Combined"	"00"	"10-14 years"	"10-14"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	"2005"	"2005"	17	171895	9.9
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"1999"	"1999"	17	123573	13.8
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2001"	"2001"	25	140593	17.8
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2002"	"2002"	17	147816	11.5
	"All Sites Combined"	"00"	"15-19 years"	"15-19"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	"2003"	"2003"	22	156227	14.1
