"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Group"	"Age Group Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	"Year"	"Year Code"	Count	Population	Crude Rate
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	17	89217	19.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	17	99015	17.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	21	103145	20.4
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	20	105328	19.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	22	106070	20.7
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	24	111074	21.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	23	115491	19.9
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	18	112041	16.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	27	112052	24.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	20	112269	17.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	24	85346	28.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	19	95406	19.9
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	19	105084	18.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	18	108732	16.6
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	20	111069	18.0
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	27	111906	24.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	33	117174	28.2
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	22	121826	18.1
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	35	118574	29.5
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	27	118197	22.8
	"All Sites Combined"	"00"	"< 1 year"	"1"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	23	119390	19.3
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	45	317971	14.2
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	38	328588	11.6
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	53	329492	16.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2002"	"2002"	51	352216	14.5
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2003"	"2003"	60	379356	15.8
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2004"	"2004"	71	400233	17.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2005"	"2005"	71	417567	17.0
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2006"	"2006"	57	428200	13.3
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2007"	"2007"	75	438784	17.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2008"	"2008"	75	449328	16.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2009"	"2009"	68	459679	14.8
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2010"	"2010"	75	464434	16.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	"2011"	"2011"	82	465996	17.6
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"1999"	"1999"	51	323823	15.7
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2000"	"2000"	70	332100	21.1
	"All Sites Combined"	"00"	"1-4 years"	"1-4"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	"2001"	"2001"	85	334634	25.4
